n,positive_rate,predicted_rate,precision,recall,f1,false_prompts,false_prompt_rate,tp,tn,fp,fn,label,parameter,idle_s,keys_limit,split,f1_ci_low,f1_ci_high,context_s
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,20,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,keys_30s_limit,30,30,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,keys_30s_limit,30,30,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,context_s,30,8,dev,,,10.0
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,context_s,30,8,test,0.0,0.36363636363636365,10.0
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,context_s,30,8,dev,,,30.0
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,context_s,30,8,test,0.0,0.36363636363636365,30.0
237,0.08438818565400844,0.08860759493670886,0.0,0.0,0.0,21,0.0967741935483871,0,196,21,20,human_reviewed,context_s,30,8,dev,,,60.0
83,0.03614457831325301,0.12048192771084337,0.0,0.0,0.0,10,0.125,0,70,10,3,human_reviewed,context_s,30,8,test,0.0,0.0,60.0
237,0.08438818565400844,0.04219409282700422,0.0,0.0,0.0,10,0.04608294930875576,0,207,10,20,human_reviewed,context_s,30,8,dev,,,120.0
83,0.03614457831325301,0.060240963855421686,0.0,0.0,0.0,5,0.0625,0,75,5,3,human_reviewed,context_s,30,8,test,0.0,0.0,120.0
281,0.24199288256227758,0.36298932384341637,0.5686274509803921,0.8529411764705882,0.6823529411764706,44,0.20657276995305165,58,169,44,10,human_complete,idle_s,5,8,dev,,,
99,0.2222222222222222,0.3838383838383838,0.5526315789473685,0.9545454545454546,0.7000000000000001,17,0.22077922077922077,21,60,17,1,human_complete,idle_s,5,8,test,0.5333333333333333,0.8205128205128205,
281,0.24199288256227758,0.34519572953736655,0.5773195876288659,0.8235294117647058,0.6787878787878787,41,0.19248826291079812,56,172,41,12,human_complete,idle_s,10,8,dev,,,
99,0.2222222222222222,0.37373737373737376,0.5675675675675675,0.9545454545454546,0.711864406779661,16,0.2077922077922078,21,61,16,1,human_complete,idle_s,10,8,test,0.5454545454545454,0.8379969992498124,
281,0.24199288256227758,0.3274021352313167,0.5978260869565217,0.8088235294117647,0.6875,37,0.17370892018779344,55,176,37,13,human_complete,idle_s,15,8,dev,,,
99,0.2222222222222222,0.36363636363636365,0.5833333333333334,0.9545454545454546,0.7241379310344828,15,0.19480519480519481,21,62,15,1,human_complete,idle_s,15,8,test,0.5568426724137933,0.8433333333333333,
281,0.24199288256227758,0.30604982206405695,0.6162790697674418,0.7794117647058824,0.6883116883116882,33,0.15492957746478872,53,180,33,15,human_complete,idle_s,20,8,dev,,,
